Rank,Artist,Title,Year,,
1,Percy Faith,"Theme From ""A Summer Place""",1960,,
2,Jim Reeves,He'll Have To Go,1960,,
3,Everly Brothers,Cathy's Clown,1960,,
4,Johnny Preston,Running Bear,1960,,
5,Mark Dinning,Teen Angel,1960,,
6,Brenda Lee,I'm Sorry,1960,,
7,Elvis Presley,It's Now Or Never,1960,,
8,Jimmy Jones,Handy Man,1960,,
9,Elvis Presley,Stuck On You,1960,,
10,Chubby Checker,The Twist,1960,,
11,Connie Francis,Everybody's Somebody's Fool,1960,,
12,Bobby Rydell,Wild One,1960,,
13,Brothers Four,Greenfields,1960,,
14,Jack Scott,What In The World's Come Over You,1960,,
15,Marty Robbins,El Paso,1960,,
16,Hollywood Argyles,Alley Oop,1960,,
17,Connie Francis,My Heart Has A Mind Of Its Own,1960,,
18,Brenda Lee,Sweet Nothin's,1960,,
19,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960,,
20,Roy Orbison,Only The Lonely,1960,,
21,Dion and The Belmonts,Where Or When,1960,,
22,Connie Stevens,Sixteen Reasons,1960,,
23,Paul Anka,Puppy Love,1960,,
24,Frankie Avalon,Why,1960,,
25,Ventures,"Walk, Dont Run",1960,,
26,Drifters,Save The Last Dance For Me,1960,,
27,Brook Benton and Dinah Washington,Baby (You Got What It Takes),1960,,
28,Johnny Horton,Sink The Bismark,1960,,
29,Sam Cooke,Chain Gang,1960,,
30,Everly Brothers,Let It Be Me,1960,,
31,Jimmy Jones,Good Timin',1960,,
32,Bobby Darin,Beyond The Sea,1960,,
33,Jimmy Clanton,Go Jimmy Go,1960,,
34,Jackie Wilson,Night,1960,,
35,Jack Scott,Burning Bridges,1960,,
36,Toni Fisher,The Big Hurt,1960,,
37,Duane Eddy,Because They're Young,1960,,
38,Conway Twitty,Lonely Blue Boy,1960,,
39,Steve Lawrence,Pretty Blue Eyes,1960,,
40,Freddie Cannon,Way Down Yonder In New Orleans,1960,,
41,Anita Bryant,Paper Roses,1960,,
42,Larry Verne,Mr. Custer,1960,,
43,Brenda Lee,I Want To Be Wanted,1960,,
44,Fendermen,Mule Skinner Blues,1960,,
45,Johnny Preston,Cradle Of Love,1960,,
46,Marv Johnson,You've Got What It Takes,1960,,
47,Hank Locklin,"Please Help Me, I'm Falling",1960,,
48,Ron Holden,Love You So,1960,,
49,Hank Ballard and The Midnighters,Finger Poppin' Time,1960,,
50,Platters,Harbor Lights,1960,,
51,Billy Bland,Let The Little Girl Dance,1960,,
52,Jeanne Black,He'll Have To Stay,1960,,
53,Ferrante and Teicher,Theme From The Apartment,1960,,
54,Bobby Rydell,Volare (Nel Blu Dipinto Di Blu),1960,,
55,Jimmy Charles,A Million To One,1960,,
56,Andy Williams,The Village Of St. Bernadette,1960,,
57,Browns,The Old Lamplighter,1960,,
58,Bill Black's Combo,White Silver Sands,1960,,
59,Bobby Vee,Devil Or Angel,1960,,
60,Four Preps,Down By The Station,1960,,
61,Little Dippers,Forever,1960,,
62,Safaris and The Phantom's Band,Image Of A Girl,1960,,
63,Brook Benton,Kiddio,1960,,
64,Donnie Brooks,Mission Bell,1960,,
65,Marv Johnson,I Love The Way You Love,1960,,
66,Paul Anka,It's Time To Cry,1960,,
67,Ray Peterson,Tell Laura I Love Her,1960,,
68,Connie Francis,Mama,1960,,
69,Steve Lawrence,Footsteps,1960,,
70,Everly Brothers,So Sad,1960,,
71,Brenda Lee,That's All You Gotta Do,1960,,
72,Fats Domino,Walking To New Orleans,1960,,
73,Connie Francis,Among My Souvenirs,1960,,
74,Bobby Rydell,Swingin' School,1960,,
75,Dinah Washington and Brook Benton,A Rockin' Good Way,1960,,
76,Neil Sedaka,Stairway To Heaven,1960,,
77,Paul Anka,My Home Town,1960,,
78,Ray Charles,Georgia On My Mind,1960,,
79,Skip and Flip,Cherry Pie,1960,,
80,Sam Cooke,Wonderful World,1960,,
81,Spencer Ross,Tracy's Theme,1960,,
82,Lloyd Price,Lady Luck,1960,,
83,Crests,Step By Step,1960,,
84,Paul Evans,Happy-Go-Lucky Me,1960,,
85,Ricky Nelson,Young Emotions,1960,,
86,Johnny Burnette,Dreamin',1960,,
87,Johnny Tillotson,Poetry In Motion,1960,,
88,Annette,O Dio Mio,1960,,
89,Joe Jones,You Talk Too Much,1960,,
90,Johnny and The Hurricanes,Beatnik Fly,1960,,
91,Everly Brothers,When Will I Be Loved,1960,,
92,Bob Luman,Let's Think About Livin',1960,,
93,Guy Mitchell,Heartaches By The Number,1960,,
94,Anita Bryant,In My Little Corner Of The World,1960,,
95,Jackie Wilson,Doggin' Around,1960,,
96,Bobby Rydell,Little Bitty Girl,1960,,
97,Barret Strong,Money,1960,,
98,Maurice Williams,Stay,1960,,
99,Charlie Rich,Lonely Weekends,1960,,
100,Larry Hall,Sandy,1960,,
1,Bobby Lewis,Tossin' And Turnin',1961,,
2,Patsy Cline,I Fall To Pieces,1961,,
3,Highwaymen,Michael,1961,,
4,Roy Orbison,Cryin',1961,,
5,Del Shannon,Runaway,1961,,
6,Jive Five,My True Story,1961,,
7,Chubby Checker,Pony Time,1961,,
8,String-a-longs,Wheels,1961,,
9,Dee Clark,Raindrops,1961,,
10,Joe Dowell,Wooden Heart (Muss I Denn),1961,,
11,Lawrence Welk,Calcutta,1961,,
12,Bobby Vee,Take Good Care Of My Baby,1961,,
13,Roy Orbison,Running Scared,1961,,
14,Shirelles,Dedicated To The One I Love,1961,,
15,Mar-Keys,Last Night,1961,,
16,Shirelles,Will You Love Me Tomorrow,1961,,
17,Ferrante and Teicher,Exodus,1961,,
18,Connie Francis,Where The Boys Are,1961,,
19,Ray Charles,Hit The Road Jack,1961,,
20,Sue Thompson,Sad Movies (Make Me Cry),1961,,
21,Ernie K-Doe,Mother-In-Law,1961,,
22,Dovells,Bristol Stomp,1961,,
23,Ricky Nelson,Travelin' Man,1961,,
24,Miracles,Shop Around,1961,,
25,Brook Benton,The Boll Weevil Song,1961,,
26,Gene Mcdaniels,A Hundred Pounds Of Clay,1961,,
27,Dick and Deedee,The Mountain's High,1961,,
28,Marty Robbins,Don't Worry,1961,,
29,Floyd Cramer,On The Rebound,1961,,
30,Steve Lawrence,Portrait Of My Love,1961,,
31,"Gary ""U.S."" Bonds",Quarter To Three,1961,,
32,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961,,
33,Neil Sedaka,Calendar Girl,1961,,
34,Chris Kenner,I Like It Like That,1961,,
35,Jorgen Ingmann,Apache,1961,,
36,Linda Scott,Don't Bet Money Honey,1961,,
37,Johnny Tillotson,Without You,1961,,
38,Ferlin Husky,Wings Of A Dove,1961,,
39,Elvis Presley,Little Sister,1961,,
40,Marcels,Blue Moon,1961,,
41,Shep and The Limelites,Daddy's Home,1961,,
42,Troy Shondell,This Time,1961,,
43,"Clarence ""Frog Man"" Henry",I Don't Know Why But I Do,1961,,
44,Kokomo,Asia Minor,1961,,
45,Faron Young,Hello Walls,1961,,
46,Dion,Runaround Sue,1961,,
47,Arthur Lyman,Yellow Bird,1961,,
48,Timi Yuro,Hurt,1961,,
49,Ricky Nelson,Hello Mary Lou,1961,,
50,Capris,There's A Moon Out Tonight,1961,,
51,Elvis Presley,Surrender,1961,,
52,Paris Sisters,I Love How You Love Me,1961,,
53,Lee Dorsey,Ya Ya,1961,,
54,"Gary ""U.S."" Bonds",School Is Out,1961,,
55,Bob Moore,Mexico,1961,,
56,Ral Donner,You Don't Know What You've Got (Until You Lose It),1961,,
57,Everly Brothers,Walk Right Back,1961,,
58,Lettermen,The Way You Look Tonight,1961,,
59,Pat Boone,Moody River,1961,,
60,Ray Charles,One Mint Julep,1961,,
61,Adam Wade,Take Good Care Of Her,1961,,
62,Carla Thomas,Gee Whiz (Look At His Eyes),1961,,
63,Ben E. King,Stand By Me,1961,,
64,Ben E. King,Spanish Harlem,1961,,
65,Ike and Tina Turner,It's Gonna Work Out Fine,1961,,
66,Echoes,Baby Blue,1961,,
67,Buzz Clifford,Baby Sittin' Boogie,1961,,
68,Del Shannon,Hats Off To Larry,1961,,
69,Caesar and The Romans,Those Oldies But Goodies,1961,,
70,Chubby Checker,The Fly,1961,,
71,Elvis Presley,(Marie's The Name) His Latest Flame,1961,,
72,Bert Kaempfert and His Orch.,Wonderland By Night,1961,,
73,Tony Orlando,Bless You,1961,,
74,Linda Scott,I've Told Every Little Star,1961,,
75,Bobby Lewis,One Track Mind,1961,,
76,Rosie and The Originals,Angel Baby,1961,,
77,Curtis Lee,Pretty Little Angel Eyes,1961,,
78,Brook Benton,Think Twice,1961,,
79,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),1961,,
80,Connie Francis,Breakin' In A Brand New Broken Heart,1961,,
