Rank,RankPowerlaw,Artist,Title,Year,SpotifyPlayCount,WikiWordCount,Followers,Popularity,Prediction,Error,Grammy,GenreRaw,Genre,beat,country,easyListening,folkORfunk,instrumental,jazz,pop,popRock,r&b,rock,rockabilly,sunshinePop,traditionalPop
1,3.935457318,Percy Faith,"Theme From ""A Summer Place""",-1.569233654,15.42517884,-0.483012558,-0.330944847,0.062475468,14.48875125,0.936427594,2,easy listening,easyListening,0,0,1,0,0,0,0,0,0,0,0,0,0
2,3.185382973,Jim Reeves,He'll Have To Go,-1.569233654,15.29195248,0.735415923,0.361105209,0.430712602,15.5791107,-0.287158227,0,"country, pop",country,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2.746617609,The Everly Brothers,Cathy's Clown,-1.569233654,15.24600313,0.706678229,0.631823699,0.641133821,15.10748466,0.138518472,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0.254924568,The Everly Brothers,Let It Be Me,-1.569233654,13.45556742,0.706678229,0.631823699,0.641133821,13.9763643,-0.52079688,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
70,-0.661960627,The Everly Brothers,So Sad,-1.569233654,13.59768907,0.706678229,0.631823699,0.641133821,13.56013827,0.037550799,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
91,-0.945872485,The Everly Brothers,When Will I Be Loved,-1.569233654,13.13842962,0.706678229,0.631823699,0.641133821,13.9859595,-0.84752988,0,country,country,0,1,0,0,0,0,0,0,0,0,0,0,0
57,-0.439643839,The Everly Brothers,Walk Right Back,-1.221846051,14.60046816,0.706678229,0.631823699,0.641133821,14.79603859,-0.195570428,0,rock,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
47,-0.230897277,The Everly Brothers,Crying In The Rain,-0.874458448,14.91893724,0.706678229,0.631823699,0.641133821,14.98654402,-0.067606779,0,rock,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2.435308628,Johnny Preston,Running Bear,-1.569233654,14.18360604,-1.414131829,-0.845453011,-0.673998798,13.26497227,0.918633764,0,,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
45,-0.183840796,Johnny Preston,Cradle Of Love,-1.569233654,12.35845462,-1.414131829,-0.845453011,-0.673998798,13.11522687,-0.756772247,0,rock and roll,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2.193838623,Mark Dinning,Teen Angel,-1.569233654,12.98602577,-1.778114398,-1.552792327,-0.884420017,12.90246764,0.083558122,0,"pop, teenage tragedy song",pop,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1.996543263,Brenda Lee,I'm Sorry,-1.569233654,15.02928764,0.249923505,0.340460553,1.114581563,16.00438161,-0.975093969,0,"pop, country",country,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0.807703554,Brenda Lee,Sweet Nothin's,-1.569233654,15.31485298,0.249923505,0.340460553,1.114581563,15.92510081,-0.610247829,0,,r&b,0,0,0,0,0,0,0,0,1,0,0,0,0
43,-0.134644664,Brenda Lee,I Want To Be Wanted,-1.569233654,12.8741584,0.249923505,0.340460553,1.114581563,14.48221003,-1.608051639,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
71,-0.677310225,Brenda Lee,That's All You Gotta Do,-1.569233654,12.88677268,0.249923505,0.340460553,1.114581563,15.27509806,-2.388325378,0,rockabilly,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
91,-0.945872485,Brenda Lee,Dum Dum,-1.221846051,12.67647619,0.249923505,0.340460553,1.114581563,14.20969142,-1.533215222,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
93,-0.969397945,Brenda Lee,You Can Depend On Me,-1.221846051,12.01486977,0.249923505,0.340460553,1.114581563,14.19901188,-2.184142114,0,,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
26,0.409778075,Brenda Lee,Break It To Me Gently,-0.874458448,14.26323471,0.249923505,0.340460553,1.114581563,15.47554629,-1.212311583,1,"vocal, country",country,0,1,0,0,0,0,0,0,0,0,0,0,0
73,-0.707371284,Brenda Lee,Everybody Loves Me But You,-0.874458448,12.23115543,0.249923505,0.340460553,1.114581563,14.41370416,-2.182548729,0,vocal,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
62,-0.53063258,Brenda Lee,Losing You,-0.527070846,12.63300892,0.249923505,0.340460553,1.114581563,14.5896794,-1.956670481,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
79,-0.792846898,Brenda Lee,Too Many Rivers,0.16770436,12.00475174,0.249923505,0.340460553,1.114581563,15.21683749,-3.212085753,0,,country,0,1,0,0,0,0,0,0,0,0,0,0,0
70,-0.661960627,Brenda Lee,Coming On Strong,0.515091963,11.14637333,0.249923505,0.340460553,1.114581563,14.81729285,-3.670919521,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
7,1.829732414,Elvis Presley,It's Now Or Never,-1.569233654,16.28079834,2.191194129,1.657099945,1.693239916,16.06495594,0.215842407,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
9,1.557777899,Elvis Presley,Stuck On You,-1.569233654,15.71687662,2.191194129,1.657099945,1.693239916,16.33392916,-0.617052542,0,"rock and roll, rhythm and blues",folkORfunk,0,0,0,1,0,0,0,0,0,0,0,0,0
39,-0.02898729,Elvis Presley,Little Sister,-1.221846051,15.02637595,2.191194129,1.657099945,1.693239916,16.35615613,-1.329780178,0,rock and roll,rock,0,0,0,0,0,0,0,0,0,1,0,0,0
51,-0.319283405,Elvis Presley,Surrender,-1.221846051,15.34147707,2.191194129,1.657099945,1.693239916,15.18513971,0.156337369,0,pop,pop,0,0,0,0,0,0,1,0,0,0,0,0,0
